name,variable_description,data_collection_period,educational_category,high_school_diploma,college_degree,graduate_degree,population_estimate
"Clarke County, Iowa",Professional school degree,2012-2016,Bachelors Degree or Higher,Yes,Yes,Yes,44
"Monroe County, Iowa",9th grade,2013-2017,Less than High School,No,No,No,51
"Clinton County, Iowa","12th grade, no diploma",2008-2012,Less than High School,No,No,No,464
"Palo Alto County, Iowa",6th grade,2008-2012,Less than High School,No,No,No,8
"Black Hawk County, Iowa",Total,2012-2016,NA,NA,NA,NA,83290
"Butler County, Iowa",Nursery school,2012-2016,Less than High School,No,No,No,0
"Webster County, Iowa",9th grade,2012-2016,Less than High School,No,No,No,302
"Fremont County, Iowa",6th grade,2008-2012,Less than High School,No,No,No,8
"Emmet County, Iowa",Associate's degree,2008-2012,Some College or Associates Degree,Yes,Yes,No,897
"Monona County, Iowa",Associate's degree,2008-2012,Some College or Associates Degree,Yes,Yes,No,550
"Louisa County, Iowa",No schooling completed,2011-2015,Less than High School,No,No,No,94
"Davis County, Iowa","Some college, less than 1 year",2009-2013,Some College or Associates Degree,Yes,No,No,566
"Dickinson County, Iowa",Kindergarten,2009-2013,Less than High School,No,No,No,0
"Clayton County, Iowa",10th grade,2009-2013,Less than High School,No,No,No,149
"Mitchell County, Iowa","Some college, less than 1 year",2014-2018,Some College or Associates Degree,Yes,No,No,469
"Polk County, Iowa",GED or alternative credential,2009-2013,High School Graduate,Yes,No,No,11831
"Butler County, Iowa",8th grade,2013-2017,Less than High School,No,No,No,217
"Wayne County, Iowa",Bachelor's degree,2011-2015,Bachelors Degree or Higher,Yes,Yes,No,436
"Scott County, Iowa",Master's degree,2014-2018,Bachelors Degree or Higher,Yes,Yes,No,10219
"Wayne County, Iowa",No schooling completed,2014-2018,Less than High School,No,No,No,38
"Hamilton County, Iowa",3rd grade,2009-2013,Less than High School,No,No,No,0
"Clinton County, Iowa","Some college, 1 or more years, no degree",2011-2015,Some College or Associates Degree,Yes,No,No,5230
"Lucas County, Iowa",GED or alternative credential,2013-2017,High School Graduate,Yes,No,No,343
"Polk County, Iowa",1st grade,2008-2012,Less than High School,No,No,No,217
"Buena Vista County, Iowa",9th grade,2009-2013,Less than High School,No,No,No,393
"Clarke County, Iowa",3rd grade,2010-2014,Less than High School,No,No,No,0
"Fremont County, Iowa",GED or alternative credential,2009-2013,High School Graduate,Yes,No,No,271
"Van Buren County, Iowa",5th grade,2014-2018,Less than High School,No,No,No,0
"Tama County, Iowa",GED or alternative credential,2015-2019,High School Graduate,Yes,No,No,487
"Scott County, Iowa",Master's degree,2011-2015,Bachelors Degree or Higher,Yes,Yes,No,10065
"Poweshiek County, Iowa",1st grade,2014-2018,Less than High School,No,No,No,0
"Des Moines County, Iowa",3rd grade,2012-2016,Less than High School,No,No,No,0
"Des Moines County, Iowa",Associate's degree,2008-2012,Some College or Associates Degree,Yes,Yes,No,2919
"Buena Vista County, Iowa",1st grade,2012-2016,Less than High School,No,No,No,28
"Jones County, Iowa",No schooling completed,2015-2019,Less than High School,No,No,No,87
"Floyd County, Iowa",Associate's degree,2008-2012,Some College or Associates Degree,Yes,Yes,No,1355
"Floyd County, Iowa",10th grade,2011-2015,Less than High School,No,No,No,251
"Winneshiek County, Iowa",Nursery school,2009-2013,Less than High School,No,No,No,16
"Osceola County, Iowa","Some college, less than 1 year",2008-2012,Some College or Associates Degree,Yes,No,No,371
"Jefferson County, Iowa",Associate's degree,2009-2013,Some College or Associates Degree,Yes,Yes,No,1416
"Humboldt County, Iowa",Doctorate degree,2012-2016,Bachelors Degree or Higher,Yes,Yes,Yes,20
"Hancock County, Iowa",Kindergarten,2010-2014,Less than High School,No,No,No,0
"Boone County, Iowa",Bachelor's degree,2015-2019,Bachelors Degree or Higher,Yes,Yes,No,3356
"Washington County, Iowa",Kindergarten,2015-2019,Less than High School,No,No,No,0
"Clarke County, Iowa","Some college, 1 or more years, no degree",2014-2018,Some College or Associates Degree,Yes,No,No,810
"Adair County, Iowa","Some college, less than 1 year",2008-2012,Some College or Associates Degree,Yes,No,No,418
"Woodbury County, Iowa",8th grade,2008-2012,Less than High School,No,No,No,1081
"Cedar County, Iowa",Bachelor's degree,2015-2019,Bachelors Degree or Higher,Yes,Yes,No,2186
"Cass County, Iowa",No schooling completed,2011-2015,Less than High School,No,No,No,55
"Bremer County, Iowa",7th grade,2013-2017,Less than High School,No,No,No,2
"Monona County, Iowa",Bachelor's degree,2009-2013,Bachelors Degree or Higher,Yes,Yes,No,724
"Worth County, Iowa",GED or alternative credential,2008-2012,High School Graduate,Yes,No,No,262
"Louisa County, Iowa",Doctorate degree,2009-2013,Bachelors Degree or Higher,Yes,Yes,Yes,9
"Harrison County, Iowa",1st grade,2011-2015,Less than High School,No,No,No,0
"Page County, Iowa",Kindergarten,2015-2019,Less than High School,No,No,No,0
