Geographic Area,Census,Estimates Base,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
".Wapello County, Iowa","35,625","35,624","35,682","35,486","35,431","35,507","35,426","35,456","35,265","35,022","34,991","34,969"
".Warren County, Iowa","46,225","46,226","46,340","46,645","46,895","47,358","47,827","48,468","49,356","50,078","51,014","51,466"
".Washington County, Iowa","21,704","21,704","21,688","21,822","21,903","21,944","22,029","22,145","22,126","22,204","22,058","21,965"
".Wayne County, Iowa","6,403","6,403","6,419","6,337","6,329","6,385","6,376","6,359","6,447","6,492","6,405","6,441"
".Webster County, Iowa","38,013","38,011","37,879","37,745","37,323","37,327","37,069","37,066","36,781","36,637","36,339","35,904"
".Winnebago County, Iowa","10,866","10,874","10,846","10,696","10,602","10,430","10,556","10,603","10,602","10,573","10,539","10,354"
".Winneshiek County, Iowa","21,056","21,058","21,076","21,051","21,041","20,840","20,696","20,745","20,427","20,129","20,017","19,991"
".Woodbury County, Iowa","102,172","102,175","102,388","102,720","102,321","102,284","102,292","102,492","102,686","102,132","102,515","103,107"
".Worth County, Iowa","7,598","7,591","7,583","7,561","7,496","7,489","7,557","7,503","7,471","7,455","7,413","7,381"
".Wright County, Iowa","13,229","13,229","13,185","13,034","13,020","12,982","12,906","12,841","12,839","12,765","12,690","12,562"
"Note: The estimates are based on the 2010 Census and reflect changes to the April 1, 2010 population due to the Count Question Resolution program and geographic program revisions. All geographic boundaries for the 2019 population estimates are as of January 1, 2019. For population estimates methodology statements, see http://www.census.gov/programs-surveys/popest/technical-documentation/methodology.html.",,,,,,,,,,,,
Suggested Citation:,,,,,,,,,,,,
"Annual Estimates of the Resident Population for Counties in Iowa: April 1, 2010 to July 1, 2019 (CO-EST2019-ANNRES-19)",,,,,,,,,,,,
"Source: U.S. Census Bureau, Population Division",,,,,,,,,,,,
Release Date: March 2020,,,,,,,,,,,,
